,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6,0.042206106681660575,8.064408216421774e-10,0.03816771595500765,0.06028695840855506,0.024097225664551785,0.004038384941202303,1823.5064224027105,1834.2528270705263,11.45,0.999999994235168,-0.6547738746230457,70.0
1,0.7000000000000001,0.0476422358266452,3.982190438394339e-08,0.04442720676100276,0.07853824418284325,0.016766639361556465,0.003493590010316344,1547.8012609333382,1571.0516347111795,10.77,0.9999999999951695,-0.6100052834046611,20.020000000000003
2,0.7999999999999998,0.05273657242059785,3.0879622188289618e-06,0.050083871555631314,0.09545284818211086,0.010054477286404868,0.00304319277402673,1309.6072502754073,1361.2769460338197,10.63,0.999999999999999,-0.5943394988586252,70.0
3,0.9,0.05752036890287269,0.0004979636307955815,0.05439852486347848,0.1099339154287433,0.004098075620709706,0.00280556492180783,1110.1318515592618,1263.4634785487106,10.660000000000002,1.0,-0.4347422703450544,70.0
4,1.0000000000000002,0.06202118024112563,0.005349895231469089,0.05399859996735599,0.11065633679474864,0.002683161961315328,0.0026697021166341888,1049.8054396587138,1224.57513764373,10.72,1.0,-0.3264421023946938,70.0
5,1.1,0.0662633950319003,0.011046930465762963,0.052436669669368226,0.10817297122643618,0.00225415150333837,0.002774307429392008,1029.4875384077395,1200.8155100367876,10.77,1.0,-0.26740988913277614,70.0
6,1.2000000000000002,0.07026867761361574,0.016645968271975457,0.05069124179380594,0.10521809286192962,0.0020187832404198174,0.0029235991574768972,1017.1574663088041,1182.74812082121,10.81,1.0,-0.22645634711565416,70.0
7,1.3,0.07405633811456529,0.021997445251139832,0.04896939730121562,0.10224217723263225,0.0018592682404602165,0.003081122052376652,1008.1888683390686,1167.956522504904,10.84,1.0,-0.19611988641110856,70.0
8,1.4,0.0776436437779331,0.027151987764903844,0.04723554399891075,0.0992334326342453,0.0017361494910561302,0.003244019521871946,1000.9247997977706,1154.9700813978316,10.870000000000001,1.0,-0.17319163725741799,70.0
9,1.5999999999999999,0.08427758463387404,0.036694641000366374,0.04401224897080163,0.09359595124405654,0.0015513219701457092,0.00355495302214945,989.6695665952668,1133.292071509307,10.920000000000002,1.0,-0.1388647617466876,70.0
10,1.8000000000000003,0.09027684322113733,0.045355999868821245,0.04106053168787546,0.08840755023246177,0.0014107673057471772,0.0038412462938852295,980.8676620434694,1115.2521598197893,10.97,1.0,-0.11516844041337265,510.0
11,2.0,0.09572834341565047,0.053238090780557835,0.038367915927134975,0.08365635063226945,0.0012960467885050975,0.00410009884410211,973.5487569055521,1099.6912500652165,11.010000000000002,1.0,-0.0975780560777878,510.0
12,2.1999999999999997,0.1007038290401645,0.06043492607974023,0.03591132818442368,0.07930620878024658,0.0011986968559639481,0.004332215675976284,967.2296608685893,1085.9543364797116,11.040000000000001,0.9999999999999997,-0.08402247002093077,510.0
13,2.4000000000000004,0.10526303897497818,0.0670285315491021,0.03366657049601356,0.07531712575177354,0.0011141140091113033,0.00453945263848095,961.6331709075422,1073.6397674687305,11.080000000000002,0.9999999999999959,-0.07333454401204365,510.0
14,2.6000000000000005,0.10945611732802862,0.07308944099802647,0.031611042209611584,0.07165114975526989,0.0010394680536681968,0.004723993384766905,956.5847895011193,1062.4552379160168,11.11,0.999999999999969,-0.06471369868811389,510.0
